,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.01844155788421631,0.0051903129368002275,0.0036715269088745117,0.0013116554098792966,mse,2,5,5,2,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
1,0.016299796104431153,0.00027066833013346164,0.0032682895660400392,0.00014885863271643854,mse,2,5,5,5,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
2,0.016359925270080566,0.00022764990118468974,0.0032234668731689455,0.00010346640064751298,mse,2,5,5,10,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
3,0.016231536865234375,0.00035646776546978886,0.003291487693786621,0.00016340988349421116,mse,2,5,10,2,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
4,0.016276240348815918,0.00018949940773242165,0.0033133268356323243,0.00015716101533757809,mse,2,5,10,5,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
5,0.017324995994567872,0.0018061929250851256,0.003447604179382324,0.00046716053058675877,mse,2,5,10,10,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
6,0.01642332077026367,0.00022613079578076003,0.003143620491027832,7.674012623469245e-05,mse,2,5,20,2,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 20, 'min_samples_split': 2}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
7,0.018184375762939454,0.0005211396452335658,0.0035395383834838866,0.0003564523043994429,mse,2,5,20,5,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 20, 'min_samples_split': 5}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
8,0.016736483573913573,0.0005812310346285201,0.003433823585510254,0.00032089623139732544,mse,2,5,20,10,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
9,0.02256596088409424,0.00512964033884675,0.004463744163513183,0.0019181233414510212,mse,2,5,40,2,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 40, 'min_samples_split': 2}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
10,0.017850208282470702,0.0026720625945957648,0.004056096076965332,0.0016103665842702604,mse,2,5,40,5,"{'criterion': 'mse', 'max_depth': 2, 'max_leaf_nodes': 5, 'min_samples_leaf': 40, 'min_samples_split': 5}",0.6262626910987645,0.4389141428524326,0.5690652953679692,0.6011436854577513,0.6103213462948038,0.5721630648222538,0.6157950705465585,0.5739301359075379,0.5611464510293567,0.6551588602132686,0.5823900743590698,0.05555015465096432,121
